100	247	234	95	#F7EA5F
101	248	233	70	#F8E946
102	253	227	0	#FDE300
103	198	169	0	#C6A900
104	177	151	0	#B19700
105	139	122	39	#8B7A27
106	251	227	67	#FBE343
107	254	224	30	#FEE01E
108	255	219	0	#FFDB00
109	255	209	0	#FFD100
110	219	169	0	#DBA900
111	172	137	0	#AC8900
112	157	131	15	#9D830F
113	253	223	80	#FDDF50
114	254	221	60	#FEDD3C
115	255	217	35	#FFD923
116	255	205	0	#FFCD00
117	204	151	0	#CC9700
118	174	132	0	#AE8400
119	138	115	31	#8A731F
120	254	218	99	#FEDA63
1205	249	223	141	#F9DF8D
121	255	215	85	#FFD755
1215	254	214	113	#FED671
122	255	208	62	#FFD03E
1225	255	200	66	#FFC842
123	255	198	39	#FFC627
1235	255	183	24	#FFB718
124	237	169	0	#EDA900
1245	201	145	13	#C9910D
125	183	132	0	#B78400
1255	175	132	29	#AF841D
126	157	118	12	#9D760C
1265	138	107	36	#8A6B24
127	245	219	107	#F5DB6B
128	247	212	75	#F7D44B
129	246	206	60	#F6CE3C
130	247	167	0	#F7A700
131	208	137	0	#D08900
132	163	115	0	#A37300
133	110	86	27	#6E561B
134	255	209	108	#FFD16C
1345	254	207	132	#FECF84
135	255	197	86	#FFC556
1355	255	197	108	#FFC56C
136	255	191	59	#FFBF3B
1365	255	181	70	#FFB546
137	255	163	0	#FFA300
1375	255	158	21	#FF9E15
138	225	124	0	#E17C00
1385	216	120	0	#D87800
139	178	109	0	#B26D00
1395	156	95	21	#9C5F15
140	117	83	25	#755319
1405	112	75	28	#704B1C
141	246	197	91	#F6C55B
142	245	189	71	#F5BD47
143	246	179	51	#F6B333
144	243	138	0	#F38A00
145	213	126	0	#D57E00
146	171	107	14	#AB6B0E
147	115	91	40	#735B28
148	255	203	138	#FFCB8A
1485	255	173	94	#FFAD5E
149	255	194	122	#FFC27A
1495	255	143	18	#FF8F12
150	255	178	88	#FFB258
1505	255	106	0	#FF6A00
151	255	131	0	#FF8300
152	233	114	0	#E97200
1525	189	70	0	#BD4600
153	193	106	16	#C16A10
1535	151	69	8	#974508
154	158	89	22	#9E5916
1545	104	56	22	#683816
155	243	208	158	#F3D09E
1555	255	185	141	#FFB98D
156	242	188	123	#F2BC7B
1565	255	161	103	#FFA167
157	241	159	83	#F19F53
1575	255	126	46	#FF7E2E
158	239	117	33	#EF7521
1585	255	107	11	#FF6B0B
159	210	93	18	#D25D12
1595	220	95	19	#DC5F13
160	165	84	26	#A5541A
1605	169	85	33	#A95521
161	99	60	32	#633C20
1615	142	71	30	#8E471E
162	255	190	158	#FFBE9E
1625	255	163	136	#FFA388
163	255	157	107	#FF9D6B
1635	255	141	106	#FF8D6A
164	255	127	63	#FF7F3F
1645	255	107	53	#FF6B35
165	255	102	27	#FF661B
1655	255	76	0	#FF4C00
166	231	82	0	#E75200
1665	226	67	1	#E24301
167	194	82	25	#C25219
1675	173	67	28	#AD431C
168	117	56	27	#75381B
1685	134	57	31	#86391F
169	255	180	170	#FFB4AA
170	255	134	113	#FF8671
171	255	91	52	#FF5B34
172	255	70	17	#FF4611
173	211	68	28	#D3441C
